데이터파일,칼럼,설명,기계고장분석Agent,이용객패턴Agent,점검우선순위Agent,현장일정Agent,활용방식
01_시설정보.csv,시설ID,시설 고유 식별자,직접,직접,직접,간접,모든 결과 연결 기준
01_시설정보.csv,역명,시설이 있는 역,미사용,직접,직접,간접,이용객정보 연결 및 분류 결과 표시
01_시설정보.csv,위치,역 내부 설치 위치,미사용,직접,미사용,간접,환승통로·출입구 영향 및 현장 식별
01_시설정보.csv,설치연도,시설 사용기간,직접,미사용,미사용,미사용,오래된 시설의 보조 위험근거
01_시설정보.csv,마지막점검일,최근 점검일,직접,미사용,미사용,간접,점검 경과기간 판단
01_시설정보.csv,다음자체점검예정일,다음 자체점검 예정 날짜,미사용,미사용,직접,간접,자체점검 분류와 일정기한 판단
01_시설정보.csv,현재상태,정상운행·이상소음·점검대기,직접,미사용,직접,간접,긴급점검 분류의 핵심 근거
01_시설정보.csv,실시간이상여부,현재 실시간 이상 신호 여부,직접,미사용,직접,간접,긴급점검 분류와 즉시 인력배치 근거
01_시설정보.csv,최근이상감지시각,가장 최근 실시간 이상 신호 시각,직접,미사용,직접,간접,긴급점검 대응시점 판단
01_시설정보.csv,실내외,실내·실외 설치 구분,직접,미사용,직접,미사용,환경 노출 및 특별점검 대상 판단
01_시설정보.csv,최근환경,습도·장마·고온 등 환경,직접,미사용,직접,미사용,기계 분석에서는 추가 확인 요인·분류에서는 특별점검 조건
01_시설정보.csv,대체이동수단,계단·엘리베이터 유무,미사용,직접,미사용,간접,점검시간의 이용객 불편 판단
02_고장이력.csv,시설ID,고장이 발생한 시설,직접,미사용,간접,간접,시설정보와 고장이력 연결
02_고장이력.csv,고장일,고장 발생 날짜,직접,미사용,간접,간접,최근 30일·90일 고장횟수 계산
02_고장이력.csv,고장종류,발판·전원·센서 등 문제,직접,미사용,간접,간접,반복고장과 중점점검항목 판단
02_고장이력.csv,운행중단시간_분,운행 중단 지속시간,직접,미사용,간접,간접,기계 위험의 보조 판단
02_고장이력.csv,조치내용,이전 점검·교체·임시조치,직접,미사용,간접,간접,이전 조치 후 재발 확인
03_이용객패턴.csv,역명,이용객 데이터의 역,미사용,직접,간접,간접,시설정보의 역명과 연결
03_이용객패턴.csv,요일구분,평일·주말 구분,미사용,직접,간접,간접,이용객 Agent 결과를 통해 일정 요일 판단
03_이용객패턴.csv,시간대,이용객 집계 시간,미사용,직접,간접,간접,이용객 Agent 결과를 통해 혼잡 회피 일정 생성
03_이용객패턴.csv,해당시간이용객,시간대별 이용객 수,미사용,직접,간접,간접,이용객 영향 비교
03_이용객패턴.csv,혼잡수준,시간대별 혼잡 등급,미사용,직접,간접,간접,이용객 Agent 결과를 통해 긴급 외 작업시간 판단
03_이용객패턴.csv,환승역여부,환승역 여부,미사용,직접,간접,간접,이용객 영향의 보조근거
04_작업자정보.csv,작업자ID,작업자 고유 식별자,미사용,미사용,미사용,직접,동명이인 구분과 배정 추적
04_작업자정보.csv,담당자,작업자 이름,미사용,미사용,미사용,직접,담당조 구성
04_작업자정보.csv,소속조,2인 1조 고정 팀 코드,미사용,미사용,미사용,직접,같은 조 작업자 2명 배정
04_작업자정보.csv,교대,주간·석간·야간·대체 구분,미사용,미사용,미사용,직접,3교대 근무시간 검증
04_작업자정보.csv,가능지역,작업 가능한 역·지역,미사용,미사용,미사용,직접,시설과 작업자 매칭
04_작업자정보.csv,경험분야,점검 경험이 있는 기계 부분,미사용,미사용,미사용,직접,중점점검항목과 작업자 매칭
04_작업자정보.csv,보유자격,승강기 유지관리·관리책임자 자격,미사용,미사용,미사용,직접,자체점검 수행자와 수시특별점검 주체 확인
04_작업자정보.csv,가능일,작업 가능한 요일,미사용,미사용,미사용,직접,일정 배정 가능 여부 확인
04_작업자정보.csv,근무시간,근무 시작·종료시간,미사용,미사용,미사용,직접,근무시간 내 일정 배치
04_작업자정보.csv,하루최대점검,하루 배정 가능한 최대 건수,미사용,미사용,미사용,직접,과도한 작업 배정 방지
04_작업자정보.csv,최근야간근무,최근 야간근무 여부,미사용,미사용,미사용,직접,다음 날 오전작업 배정 지양
04_작업자정보.csv,현재피로도,낮음·중간·높음,미사용,미사용,미사용,직접,긴급작업 연속배정 방지
04_작업자정보.csv,현재상태,배정가능·경감배정·긴급대기,미사용,미사용,미사용,직접,실제 배정 가능 여부와 대체인력 투입
05_현장운영규칙.csv,항목,적용할 제약조건 이름,미사용,미사용,미사용,직접,일정 규칙 구분
05_현장운영규칙.csv,실습용운영규칙,인원·이동·피로·대기조 규칙,미사용,미사용,미사용,직접,일정 생성 및 검증 기준
05_수시특별점검기준.csv,점검명,해빙기·풍수해 대비 점검 이름,미사용,미사용,직접,간접,수시특별점검 유형 표시
05_수시특별점검기준.csv,적용시기,특별점검 적용 월,미사용,미사용,직접,간접,다음 달 계획월이 적용시기에 포함되는지 확인
05_수시특별점검기준.csv,적용대상,실외·지반·침수 취약 등 대상조건,미사용,미사용,직접,간접,시설 환경과 특별점검 기준 매칭
05_수시특별점검기준.csv,목적,특정 시기 취약요소의 선제적 보완,미사용,미사용,직접,간접,점검 목적 설명
05_수시특별점검기준.csv,주요점검항목,구조물·배수·차수·전기 점검범위,미사용,미사용,직접,간접,분류 Agent 결과를 통해 수시특별점검 작업범위 전달
05_수시특별점검기준.csv,점검주체,합동점검단 또는 자체 관리 주체,미사용,미사용,직접,간접,분류 Agent 결과를 통해 수행주체 전달
Agent출력,기계위험,높음·중간·낮음 위험등급,생성,미사용,직접,간접,점검종류와 우선순위 판단
Agent출력,위험점수,시설 비교용 0~100 점수,생성,미사용,직접,간접,실제 고장확률이 아닌 상대비교
Agent출력,중점점검항목,우선 확인할 기계 부분,생성,미사용,직접,직접,작업자 경험분야 매칭
Agent출력,점검추천시간,이용객이 상대적으로 적은 시간,미사용,생성,직접,직접,자체·수시특별점검 시간 배치
Agent출력,점검비추천시간,혼잡해 피해야 하는 시간,미사용,생성,직접,직접,긴급 외 작업 배정 회피
Agent출력,점검종류,긴급점검·수시특별점검·자체점검 분류,미사용,미사용,생성,직접,최종 일정표 3종 분리 기준
Agent출력,완료기한,즉시·24시간·정해진 기한,미사용,미사용,생성,직접,긴급성과 일정순서 판단
